,INVOICE CODE,ACCOUNT URL,AMOUNT,COMMISSIONS (USD)
67,FDEUR172644,lgmahelp.freshdesk.com,179.2602,44.81
68,FDEUR171609,futurenergy.freshdesk.com,276.75,69.18
69,FD1406791,persechini.freshdesk.com,260.0,65.0
70,FRS177135,v22media.freshsales.io,288.0,72.0
71,FD1405973,conteit.freshdesk.com,931.5,232.87
72,FD1404609,cellidigitalhelpdesk.freshdesk.com,67.12,16.78
73,FDEUR171485,giordanoshop.freshdesk.com,40.8114,10.2
74,FDEUR171464,Not Available,23.37,5.84
75,FDEUR171689,businessboxitaliahelp.freshdesk.com,23.37,5.84
76,FDEUR172382,telematicoaccise-infotelsrl.freshdesk.com,3075.0369,768.75
77,FD1407588,testbusters.freshdesk.com,114.0,28.5
78,FDEUR172623,newaccount1608390207880.freshdesk.com,116.85,29.21
79,FDEUR171753,smartmediatools.freshdesk.com,186.96,46.74
80,FDEUR171573,Not Available,140.22,35.05
81,FDEUR172660,newaccount1614544412427.freshdesk.com,166.05,41.51
82,FDEUR171453,Not Available,55.35,13.83
83,FDEUR171722,Not Available,424.35,106.08
84,FDEUR171537,Not Available,140.22,35.05
85,FD1402381,Not Available,236.0,59.0
86,FD1410128,newaccount1635330428632.freshdesk.com,234.0,58.5
87,FD1411907,Not Available,175.0,43.75
88,FD1412000,Not Available,34.83,8.7
89,FDEUR170670,Not Available,217.6731,54.41
90,FDEUR170863,Not Available,221.4,55.35
91,FDEUR172094,Not Available,442.8,110.7
0,FDEUR162724,revorg.freshdesk.com,8076.18,2019.04
1,FDEUR161724,odigeo.freshdesk.com,14917.44,3729.36
2,FRS151460,dataprinter.freshsales.io,576.0,144.0
3,FRS164838,dataprinter.freshsales.io,103.0,25.75
4,FRS168030,dataprinter.freshsales.io,184.0,46.0
5,FD1367341,bluenext.freshdesk.com,589.0,147.25
6,FDEUR166113,archivisthd.freshdesk.com,381.3,95.32
7,FDEUR166133,risattiservice.freshdesk.com,570.72,142.68
8,FDEUR166447,afeasupport.freshdesk.com,570.72,142.68
9,FSEUR21011,prodottigianni.freshservice.com,228.78,57.19
10,FDEUR166473,imasimpiantisrl.freshdesk.com,79.95,19.98
11,FDEUR166400,sammontana.freshdesk.com,23.37,5.84
12,FDEUR166096,giwasupport.freshdesk.com,109.47,27.36
13,FCL270015,devourtours.freshcaller.com,23.37,5.84
14,FD1373475,hoplix.freshdesk.com,150.0,37.5
15,FDEUR167089,togetherprice.freshdesk.com,159.9,39.97
16,FSEUR18865,cellularitalia.freshservice.com,11926.08,2981.52
17,FDEUR160815,covemavernici.freshdesk.com,4723.2,1180.8
18,FCL270003,persechini.freshcaller.com,0.0,0.0
19,FD1369373,icstechnologies.freshdesk.com,19.0,4.75
20,FS131324,metellispa.freshservice.com,4116.0,1029.0
21,FRS172928,puntosuddb.freshsales.io,588.0,147.0
22,FRS172604,criticalcasecrm.freshsales.io,274.29,68.57
23,FSEUR19434,diasorin.freshservice.com,35335.44,8833.86
24,FSEUR15025,angelservicedesk.freshservice.com,25.83,6.45
25,FDEUR167031,ietimpianti.freshdesk.com,93.48,23.37
26,FDEUR166154,soisy.freshdesk.com,156.21,39.05
27,FDEUR166910,soisy.freshdesk.com,151.29,37.82
28,244215,covemavernici-team,856.08,214.02
29,FDEUR166029,hegoonehelp.freshdesk.com,2583.0,645.75
30,FD1371212,cioccasupport.freshdesk.com,99.0,24.75
31,248785,dojo-org,95.94,23.98
32,FDEUR162791,sanarti.freshdesk.com,34.44,8.61
33,249493,giordanoshop,263.22,65.8
34,FDEUR166755,atipicishop.freshdesk.com,116.85,29.21
35,FSEUR21046,ndw.freshservice.com,255.84,63.96
36,FDEUR166196,Not Available,140.22,35.05
37,FDEUR148945,imessinaservizigenerali.freshdesk.com,221.4,55.35
38,FDEUR158289,newaccount1603880328286.freshdesk.com,428.04,107.01
39,249714,soisy1,531.36,132.84
40,FDEUR167079,Not Available,46.74,11.68
41,FD1374522,medicilio.freshdesk.com,99.0,24.75
42,FDEUR159759,Not Available,1015.98,253.99
43,FSEUR20175,atlantia.freshservice.com,14022.0,7011.0
44,FDEUR141997,itagdoxerox.freshdesk.com,5785.92,1446.48
45,FDEUR167196,vapeitalia.freshdesk.com,159.9,39.97
46,FDEUR167229,overstep.freshdesk.com,23.37,5.84
47,FD1375862,syfer.freshdesk.com,38.0,9.5
48,FRELEASE77028,Not Available,12.0,3.0
49,FRS173913,criticalcasecrm.freshsales.io,0.0,0.0
50,FDEUR167678,maurysonline.freshdesk.com,215.25,53.81
51,FDEUR167692,giordanoshop.freshdesk.com,140.22,35.05
52,FD1378026,Not Available,38.0,9.5
53,FD1378760,clientsasuranceameli.freshdesk.com,25.0,6.25
54,FDEUR167827,tiemmeelettronica.freshdesk.com,51.66,12.91
55,FD1379609,fido.freshdesk.com,0.0,0.0
56,FDEUR168616,housers.freshdesk.com,369.0,92.25
57,FDEUR168184,futurenergy.freshdesk.com,276.75,69.18
58,FD1383667,persechini.freshdesk.com,260.0,65.0
59,251849,iconacasa,76.0,19.0
60,FD1382788,conteit.freshdesk.com,932.0,233.0
61,FDEUR168055,Not Available,23.37,5.84
62,FDEUR168278,businessboxitaliahelp.freshdesk.com,23.37,5.84
63,FD1384741,testbusters.freshdesk.com,114.0,28.5
64,FDEUR168337,smartmediatools.freshdesk.com,186.96,46.74
65,FDEUR168148,Not Available,140.22,35.05
66,FDEUR168048,Not Available,55.35,13.83
67,FDEUR168308,Not Available,424.35,106.08
68,FDEUR168106,Not Available,140.22,35.05
69,FSEUR21088,Not Available,184.5,46.12
70,248876,Not Available,52.0,13.0
71,252226,Not Available,8.0,2.0
72,FT-14356,Not Available,76.26,19.06
73,FDEUR169177,adamcashmanagement.freshdesk.com,134.07,33.51
74,FSEUR21489,truckitalia.freshservice.com,63.96,15.99
75,FDEUR168765,yousystemhelp.freshdesk.com,70.11,17.52
76,253698,comifers,47.97,11.99
77,FDEUR169224,newaccount1608390207880.freshdesk.com,116.85,29.21
78,FD1388777,fido.freshdesk.com,69.0,17.25
79,FD1386766,senzafilisenzaconfini.freshdesk.com,148.0,37.0
80,FDEUR169426,tun2u.freshdesk.com,142.68,35.67
81,253870,plurima,76.0,19.0
82,FDEUR169258,newaccount1614544412427.freshdesk.com,166.05,41.51
83,253957,Not Available,116.0,29.0
84,FW8158,okkocomunicazione-org.myfreshworks.com,44.28,11.07
85,FDEUR168123,Not Available,221.4,55.35
86,FD1383834,Not Available,175.0,43.75
87,FD1379515,Not Available,18.0,4.5
88,FDEUR167339,https://axoniq.freshdesk.com/,420.66,105.16
0,153712,augeinternationalconsulting,0.0,0.0
1,FDEUR166067,diceworld.freshdesk.com,1086.1638,271.54
2,FDEUR158286,novacoophelp.freshdesk.com,972.561,243.14
3,FDEUR156406,novacoophelp.freshdesk.com,6534.99,1633.74
4,FDEUR163914,cedigros.freshdesk.com,1033.2,258.3
5,246229,sidal,664.2,166.05
6,FSEUR21393,atlantia.freshservice.com,17157.4176,8578.7
7,FSEUR22047,temakinhospa.freshservice.com,6085.548,1521.38
8,FDEUR169893,https://axoniq.freshdesk.com/,4093.9566,1023.48
9,259750,dojo-org,95.94,23.98
10,FW12386,okkocomunicazione-org.myfreshworks.com,44.28,11.07
11,FSEUR22619,prodottigianni.freshservice.com,228.78,57.19
12,260451,giordanoshop,210.33,52.58
13,260751,giordanoshop,0.0,0.0
14,260625,soisy1,531.36,132.84
15,FSEUR22687,Not Available,184.5,46.12
16,261361,giordanoshop,256.0491,64.01
17,FRELEASE96422,Not Available,12.0,3.0
18,FSEUR22940,temakinhospa.freshservice.com,0.0,0.0
19,FSEUR23117,lyrecoservicedesk.freshservice.com,0.0,0.0
20,FSEUR22399,inpeco.freshservice.com,17902.404,4475.6
21,FW11081,nextdigitalwave.myfreshworks.com,1328.4,332.1
22,FDEUR172838,archivisthd.freshdesk.com,381.3,95.32
23,FDEUR172851,risattiservice.freshdesk.com,570.72,142.68
24,FDEUR173213,afeasupport.freshdesk.com,570.72,142.68
25,FDEUR173825,togetherprice.freshdesk.com,159.9,39.97
26,FCL291965,devourtours.freshcaller.com,23.37,5.84
27,FD1424782,clientsasuranceameli.freshdesk.com,25.0,6.25
28,FDEUR174543,tiemmeelettronica.freshdesk.com,51.66,12.91
29,FD1416789,servizioclientikillin.freshdesk.com,25.0,6.25
30,FD1419484,hoplix.freshdesk.com,125.0,31.25
31,FDEUR173250,imasimpiantisrl.freshdesk.com,79.95,19.98
32,FRS179088,spazionovasoluzioni.freshsales.io,72.0,18.0
33,FDEUR173156,sammontana.freshdesk.com,23.37,5.84
34,FCL291950,persechini.freshcaller.com,0.0,0.0
35,FDEUR173963,vapeitalia.freshdesk.com,159.9,39.97
36,FD1415226,icstechnologies.freshdesk.com,19.0,4.75
37,FRS178306,criticalcasecrm.freshsales.io,274.1301,68.53
38,FDEUR172792,bridgestonesouth.freshdesk.com,23285.376,5821.34
39,FDEUR174385,maurysonline.freshdesk.com,215.25,53.81
40,FD1424621,kinetrika.freshdesk.com,1080.0,270.0
41,FDEUR173776,ietimpianti.freshdesk.com,93.48,23.37
42,FDEUR174215,arkimat.freshdesk.com,5008.0434,1252.01
43,FDEUR174397,giordanoshop.freshdesk.com,186.96,46.74
44,FD1417482,cioccasupport.freshdesk.com,99.0,24.75
45,FD1424701,3bee.freshdesk.com,360.0,90.0
46,FDEUR173520,atipicishop.freshdesk.com,116.85,29.21
47,FDEUR172687,covermanagercom.freshdesk.com,937.6167,234.4
48,FDEUR173602,smartmediatools.freshdesk.com,21.0084,5.25
49,FDEUR174367,smartmediatools.freshdesk.com,5.1045,1.27
50,FDEUR172912,Not Available,140.22,35.05
51,FDEUR174010,overstep.freshdesk.com,23.37,5.84
52,FW13492,Not Available,175.89,43.97
53,FDEUR173820,Not Available,46.74,11.68
54,FD1424016,Not Available,38.0,9.5
55,FD1416989,fido.freshdesk.com,50.29,12.57
56,FD1425503,Not Available,236.0,59.0
57,FDEUR174208,Not Available,332.1,83.02
58,FD1414493,Not Available,121.28,30.32
59,FD1414675,Not Available,30.15,7.53
60,FD1421414,Not Available,19.96,4.99
61,FDEUR173747,netribe.freshdesk.com,960.1995,240.04
62,FDEUR174068,Not Available,217.71,54.42
63,FW13559,cyseacybersecurity.myfreshworks.com,0.0,0.0
64,FDEUR168312,netribe.freshdesk.com,1992.6,498.15
65,FSEUR23256,mirabilandia.freshservice.com,974.16,243.54
66,FT-16192,Not Available,0.0,0.0
67,FT-16103,Not Available,0.0,0.0
68,FD1428846,conteit.freshdesk.com,931.5,232.87
69,FDEUR175349,housers.freshdesk.com,369.0,92.25
70,FS148838,metellispa.freshservice.com,0.0,0.0
71,FSEUR23389,apparound.freshservice.com,0.0,0.0
72,FSEUR23345,iguzzini.freshservice.com,0.0,0.0
73,FSEUR23428,prodottigianni.freshservice.com,0.0,0.0
74,FSEUR23434,forfettapp.freshservice.com,0.0,0.0
75,FSEUR23299,salvagniniitaliaspa.freshservice.com,147.7476,36.93
76,262852,iconacasa,76.0,19.0
77,FSEUR23406,humanitas.freshservice.com,0.0,0.0
78,FDEUR174938,futurenergy.freshdesk.com,276.75,69.18
79,FSEUR23349,healthwaregroup.freshservice.com,0.0,0.0
80,FD1429699,persechini.freshdesk.com,260.0,65.0
81,FD1430747,testbusters.freshdesk.com,114.0,28.5
82,FSEUR23631,truckitalia.freshservice.com,63.96,15.99
83,FSEUR23471,mercatocentrale.freshservice.com,0.0,0.0
84,FSEUR23483,sanlorenzospaservicedesk.freshservice.com,0.0,0.0
85,FSEUR23418,angelservicedesk.freshservice.com,0.0,0.0
86,FSEUR23485,upgradesrl.freshservice.com,0.0,0.0
87,FSEUR23383,cellularitalia.freshservice.com,0.0,0.0
88,FDEUR175003,businessboxitaliahelp.freshdesk.com,23.37,5.84
89,FSEUR23493,mermec.freshservice.com,0.0,0.0
90,FD1430278,newaccount1606128718634.freshdesk.com,420.0,105.0
91,FDEUR174917,Not Available,140.22,35.05
92,FD1430841,fido.freshdesk.com,40.92,10.23
93,FDEUR175054,smartmediatools.freshdesk.com,257.07,64.26
94,FT-17191,Not Available,76.1985,19.04
95,FDEUR174835,Not Available,55.35,13.83
96,FDEUR175021,Not Available,424.35,106.08
97,FDEUR174897,Not Available,140.22,35.05
98,FW14527,Not Available,57.81,14.45
99,FD1433019,newaccount1635330428632.freshdesk.com,252.0,63.0
100,FD1429149,newaccount1635330428632.freshdesk.com,3.02,0.75
101,264562,comifers,47.97,11.99
102,FDEUR175908,newaccount1608390207880.freshdesk.com,116.85,29.21
103,FD1434469,Not Available,420.0,105.0
104,FDEUR176093,tun2u.freshdesk.com,142.68,35.67
105,264725,plurima,76.0,19.0
106,264817,Not Available,116.0,29.0
107,FDEUR175946,newaccount1614544412427.freshdesk.com,166.05,41.51
108,FW14766,adrabamarketing.myfreshworks.com,57.81,14.45
109,FDEUR175266,h2softwareassistenza.freshdesk.com,885.6,221.4
0,FS25895,Metelli SPA,0.0,0.0
1,FS18161,Metelli SPA,4262.0,1065.5
2,FS17574,Metelli SPA,303.0,75.75
3,FS43409,Metelli SPA,4116.0,1029.0
4,FS65994,Metelli SPA,4116.0,1029.0
5,FS91836,Metelli SPA,4116.0,1029.0
6,FS131324,Metelli SPA,4116.0,1029.0
7,FDEUR167089,Together Price,159.9,39.97
8,FDEUR76814,Together Price,142.68,35.67
9,FDEUR79107,Together Price,142.68,35.67
10,FDEUR80718,Together Price,25.83,6.45
11,FDEUR81547,Together Price,214.02,53.5
12,FDEUR83927,Together Price,214.02,53.5
13,FDEUR86273,Together Price,214.02,53.5
14,FDEUR91089,Together Price,214.02,53.5
15,FDEUR93870,Together Price,239.85,59.96
16,FDEUR96171,Together Price,239.85,59.96
17,FDEUR98701,Together Price,239.85,59.96
18,FDEUR101237,Together Price,239.85,59.96
19,FDEUR103697,Together Price,239.85,59.96
20,FDEUR106074,Together Price,239.85,59.96
21,FDEUR109444,Together Price,239.85,59.96
22,FDEUR112053,Together Price,239.85,59.96
23,FDEUR114866,Together Price,239.85,59.96
24,FDEUR117409,Together Price,239.85,59.96
25,FDEUR120158,Together Price,239.85,59.96
26,FDEUR123053,Together Price,239.85,59.96
27,FDEUR125735,Together Price,239.85,59.96
28,FDEUR128595,Together Price,239.85,59.96
29,FDEUR131685,Together Price,159.9,39.97
30,FDEUR134742,Together Price,159.9,39.97
31,FDEUR137824,Together Price,159.9,39.97
32,FDEUR140731,Together Price,159.9,39.97
33,FDEUR144095,Together Price,159.9,39.97
34,FDEUR147366,Together Price,159.9,39.97
35,FDEUR150749,Together Price,159.9,39.97
36,FDEUR154106,Together Price,159.9,39.97
37,FDEUR157448,Together Price,159.9,39.97
38,FDEUR160816,Together Price,159.9,39.97
39,FDEUR163865,Together Price,159.9,39.97
40,FDEUR69918,Together Price,142.68,35.67
41,FDEUR72219,Together Price,142.68,35.67
42,FDEUR74567,Together Price,142.68,35.67
43,FD683793,clientsasuranceameli,99.0,24.75
44,FD703880,clientsasuranceameli,25.0,6.25
45,FD721071,clientsasuranceameli,25.0,6.25
46,FD737659,clientsasuranceameli,25.0,6.25
47,FD1378760,clientsasuranceameli,25.0,6.25
48,FD1078492,clientsasuranceameli,25.0,6.25
49,FD1098592,clientsasuranceameli,25.0,6.25
50,FD1119491,clientsasuranceameli,25.0,6.25
51,FD1140839,clientsasuranceameli,25.0,6.25
52,FD1161999,clientsasuranceameli,25.0,6.25
53,FD1182662,clientsasuranceameli,25.0,6.25
54,FD1202724,clientsasuranceameli,25.0,6.25
55,FD1223910,clientsasuranceameli,25.0,6.25
56,FD1245773,clientsasuranceameli,25.0,6.25
57,FD1268035,clientsasuranceameli,25.0,6.25
58,FD1289863,clientsasuranceameli,25.0,6.25
59,FD1312125,clientsasuranceameli,25.0,6.25
60,FD1334180,clientsasuranceameli,25.0,6.25
61,FD1356026,clientsasuranceameli,25.0,6.25
62,FD753768,clientsasuranceameli,25.0,6.25
63,FD770852,clientsasuranceameli,25.0,6.25
64,FD787579,clientsasuranceameli,25.0,6.25
65,FD805007,clientsasuranceameli,25.0,6.25
66,FD822051,clientsasuranceameli,25.0,6.25
67,FD839551,clientsasuranceameli,25.0,6.25
68,FD856894,clientsasuranceameli,25.0,6.25
69,FD874672,clientsasuranceameli,25.0,6.25
70,FD892391,clientsasuranceameli,25.0,6.25
71,FD910628,clientsasuranceameli,25.0,6.25
72,FD929214,clientsasuranceameli,25.0,6.25
73,FD947196,clientsasuranceameli,25.0,6.25
74,FD964944,clientsasuranceameli,25.0,6.25
75,FD983485,clientsasuranceameli,25.0,6.25
76,FD1002127,clientsasuranceameli,25.0,6.25
77,FD1021010,clientsasuranceameli,25.0,6.25
78,FD1039816,clientsasuranceameli,25.0,6.25
79,FD1058860,clientsasuranceameli,25.0,6.25
80,FDEUR65647,industrial time,3055.32,763.83
81,FDEUR93691,industrial time,3055.32,763.83
82,FDEUR124844,industrial time,3055.32,763.83
83,FDEUR162840,industrial time,3055.32,763.83
84,FCL3872,devourtours,25.0,6.25
85,FCL4959,devourtours,25.0,6.25
86,FCL5653,devourtours,25.0,6.25
87,FCL6066,devourtours,25.0,6.25
88,FCL6557,devourtours,25.0,6.25
89,FCL7490,devourtours,25.0,6.25
90,FCL8219,devourtours,25.0,6.25
91,FCL8973,devourtours,25.0,6.25
92,FCL9585,devourtours,25.0,6.25
93,FCL10775,devourtours,25.0,6.25
94,FCL12005,devourtours,25.0,6.25
95,FCL13792,devourtours,25.0,6.25
96,FCL16136,devourtours,25.0,6.25
97,FCL18642,devourtours,25.0,6.25
98,FCL20348,devourtours,25.0,6.25
99,FCL22146,devourtours,25.0,6.25
100,FCL24205,devourtours,25.0,6.25
101,FCL25555,devourtours,25.0,6.25
102,FCL27163,devourtours,25.0,6.25
103,FCL29076,devourtours,25.0,6.25
104,FCL30089,devourtours,25.0,6.25
105,FCL31020,devourtours,27.06,6.76
106,FCL32681,devourtours,442.8,110.7
107,FCL32905,devourtours,27.06,6.76
108,FCL35587,devourtours,27.06,6.76
109,FCL37558,devourtours,27.06,6.76
110,FCL40556,devourtours,27.06,6.76
111,FCL43091,devourtours,27.06,6.76
112,FCL45653,devourtours,27.06,6.76
113,FCL47871,devourtours,27.06,6.76
114,FCL50504,devourtours,27.06,6.76
115,FCL55172,devourtours,27.06,6.76
116,FCL60665,devourtours,27.06,6.76
117,FCL69681,devourtours,541.2,135.3
118,FCL59451,devourtours,442.8,110.7
119,FCL71193,devourtours,511.68,127.92
120,FCL198225,devourtours,0.0,0.0
121,FCL237994,devourtours,23.37,5.84
122,FCL248827,devourtours,23.37,5.84
123,FCL258992,devourtours,23.37,5.84
124,FCL270015,devourtours,23.37,5.84
125,FRS82583,M2 Servizi srl,57.0,14.25
126,FDEUR74878,Università degli Studi di Trieste,4959.36,1239.84
127,FDEUR110356,Università degli Studi di Trieste,4959.36,1239.84
128,FDEUR145209,Università degli Studi di Trieste,4959.36,1239.84
129,FDEUR62042,IT Consulting,71.34,17.83
130,FDEUR64300,IT Consulting,71.34,17.83
131,FDEUR60585,Comune di Marino,4250.88,1062.72
132,FDEUR88294,Comune di Marino,0.0,0.0
133,FDEUR103879,Comune di Marino,3321.0,830.25
134,FDEUR137157,Comune di Marino,3321.0,830.25
135,FDEUR64432,Fontanot SPA,3985.2,996.3
136,FDEUR81377,Fontanot SPA,99.63,24.9
137,FDEUR74644,Fontanot SPA,164.82,41.2
138,FDEUR90177,Fontanot SPA,15.99,3.99
139,FDEUR92386,Fontanot SPA,4737.96,1184.49
140,FDEUR123297,Fontanot SPA,4737.96,1184.49
141,FDEUR161083,Fontanot SPA,4737.96,1184.49
142,FDEUR88193,Mow S.r.l.,1328.4,332.1
143,FDEUR118474,Mow S.r.l.,1328.4,332.1
144,FDEUR60476,Mow S.r.l.,1062.72,265.68
145,FDEUR70556,Mow S.r.l.,167.28,41.82
146,FDEUR155357,Mow S.r.l.,1328.4,332.1
147,FSEUR172,Comune di Tortoli,1180.8,295.2
148,FSEUR1619,Comune di Tortoli,1180.8,295.2
149,FD607291,TRADING BOTS SRL,43.0,10.75
150,FD623651,TRADING BOTS SRL,44.0,11.0
151,FD640581,TRADING BOTS SRL,44.0,11.0
152,FSEUR62,Vtech,130.38,32.59
153,FD609223,Goodgest srls,684.0,171.0
154,FDEUR60129,TiEmme elettronica,88.56,22.14
155,FDEUR62413,TiEmme elettronica,88.56,22.14
156,FDEUR64661,TiEmme elettronica,88.56,22.14
157,FDEUR66893,TiEmme elettronica,51.66,12.91
158,FDEUR69093,TiEmme elettronica,51.66,12.91
159,FDEUR71391,TiEmme elettronica,51.66,12.91
160,FDEUR73782,TiEmme elettronica,51.66,12.91
161,FDEUR76089,TiEmme elettronica,51.66,12.91
162,FDEUR78332,TiEmme elettronica,51.66,12.91
163,FDEUR80732,TiEmme elettronica,51.66,12.91
164,FDEUR83072,TiEmme elettronica,51.66,12.91
165,FDEUR85513,TiEmme elettronica,51.66,12.91
166,FDEUR87835,TiEmme elettronica,51.66,12.91
167,FDEUR90244,TiEmme elettronica,51.66,12.91
168,FDEUR92655,TiEmme elettronica,51.66,12.91
169,FDEUR95030,TiEmme elettronica,51.66,12.91
170,FDEUR97421,TiEmme elettronica,51.66,12.91
171,FDEUR99952,TiEmme elettronica,51.66,12.91
172,FDEUR102484,TiEmme elettronica,51.66,12.91
173,FDEUR104972,TiEmme elettronica,51.66,12.91
174,FDEUR107356,TiEmme elettronica,51.66,12.91
175,FDEUR110013,TiEmme elettronica,51.66,12.91
176,FDEUR112662,TiEmme elettronica,51.66,12.91
177,FDEUR115414,TiEmme elettronica,51.66,12.91
178,FDEUR118048,TiEmme elettronica,51.66,12.91
179,FDEUR120778,TiEmme elettronica,51.66,12.91
180,FDEUR123651,TiEmme elettronica,51.66,12.91
181,FDEUR126328,TiEmme elettronica,51.66,12.91
182,FDEUR129240,TiEmme elettronica,51.66,12.91
183,FDEUR132369,TiEmme elettronica,51.66,12.91
184,FDEUR135404,TiEmme elettronica,51.66,12.91
185,FDEUR138504,TiEmme elettronica,51.66,12.91
186,FDEUR141444,TiEmme elettronica,51.66,12.91
187,FDEUR144831,TiEmme elettronica,51.66,12.91
188,FDEUR148086,TiEmme elettronica,51.66,12.91
189,FDEUR151492,TiEmme elettronica,51.66,12.91
190,FDEUR154775,TiEmme elettronica,51.66,12.91
191,FDEUR158171,TiEmme elettronica,51.66,12.91
192,FDEUR161514,TiEmme elettronica,51.66,12.91
193,FDEUR164523,TiEmme elettronica,51.66,12.91
194,FDEUR167827,TiEmme elettronica,51.66,12.91
195,FDEUR165913,Tun2U,142.68,35.67
196,FDEUR58963,Tun2U,142.68,35.67
197,FDEUR61171,Tun2U,142.68,35.67
198,FDEUR63458,Tun2U,142.68,35.67
199,FDEUR65680,Tun2U,142.68,35.67
200,FDEUR67885,Tun2U,142.68,35.67
201,FDEUR70181,Tun2U,142.68,35.67
202,FDEUR72485,Tun2U,142.68,35.67
203,FDEUR74885,Tun2U,142.68,35.67
204,FDEUR77020,Tun2U,142.68,35.67
205,FDEUR169426,Tun2U,142.68,35.67
206,FDEUR159742,Tun2U,142.68,35.67
207,FDEUR162890,Tun2U,142.68,35.67
208,FDEUR79403,Tun2U,142.68,35.67
209,FDEUR81776,Tun2U,142.68,35.67
210,FDEUR84200,Tun2U,142.68,35.67
211,FDEUR86570,Tun2U,142.68,35.67
212,FDEUR88917,Tun2U,142.68,35.67
213,FDEUR91352,Tun2U,142.68,35.67
214,FDEUR93732,Tun2U,142.68,35.67
215,FDEUR96080,Tun2U,142.68,35.67
216,FDEUR98592,Tun2U,142.68,35.67
217,FDEUR101104,Tun2U,142.68,35.67
218,FDEUR103637,Tun2U,142.68,35.67
219,FDEUR105971,Tun2U,142.68,35.67
220,FDEUR108561,Tun2U,142.68,35.67
221,FDEUR111243,Tun2U,142.68,35.67
222,FDEUR113919,Tun2U,142.68,35.67
223,FDEUR116626,Tun2U,142.68,35.67
224,FDEUR119265,Tun2U,142.68,35.67
225,FDEUR122139,Tun2U,142.68,35.67
226,FDEUR124895,Tun2U,142.68,35.67
227,FDEUR127583,Tun2U,142.68,35.67
228,FDEUR130694,Tun2U,142.68,35.67
229,FDEUR133790,Tun2U,142.68,35.67
230,FDEUR136839,Tun2U,142.68,35.67
231,FDEUR139741,Tun2U,142.68,35.67
232,FDEUR142968,Tun2U,142.68,35.67
233,FDEUR146232,Tun2U,142.68,35.67
234,FDEUR149615,Tun2U,142.68,35.67
235,FDEUR153094,Tun2U,142.68,35.67
236,FDEUR156268,Tun2U,142.68,35.67
237,FD755525,Capitoliumart srl,10.0,2.5
238,FD758457,Capitoliumart srl,413.0,103.25
239,FD775386,Capitoliumart srl,413.0,103.25
240,FD792208,Capitoliumart srl,413.0,103.25
241,FD809670,Capitoliumart srl,413.0,103.25
242,FD826909,Capitoliumart srl,413.0,103.25
243,FD831922,Capitoliumart srl,40.0,10.0
244,FD844406,Capitoliumart srl,472.0,118.0
245,FD861864,Capitoliumart srl,472.0,118.0
246,FD879558,Capitoliumart srl,472.0,118.0
247,FD897556,Capitoliumart srl,472.0,118.0
248,FD915898,Capitoliumart srl,472.0,118.0
249,FD934127,Capitoliumart srl,472.0,118.0
250,FD952158,Capitoliumart srl,472.0,118.0
251,FD970019,Capitoliumart srl,472.0,118.0
252,FD988666,Capitoliumart srl,472.0,118.0
253,FD1007506,Capitoliumart srl,472.0,118.0
254,FD1026221,Capitoliumart srl,472.0,118.0
255,FD1044792,Capitoliumart srl,472.0,118.0
256,FD1064330,Capitoliumart srl,472.0,118.0
257,FD1083969,Capitoliumart srl,472.0,118.0
258,FD1104213,Capitoliumart srl,472.0,118.0
259,FD606529,Capitoliumart srl,236.0,59.0
260,FD623449,Capitoliumart srl,236.0,59.0
261,FD640409,Capitoliumart srl,236.0,59.0
262,FD646027,Capitoliumart srl,40.0,10.0
263,FD657375,Capitoliumart srl,295.0,73.75
264,FD658220,Capitoliumart srl,56.0,14.0
265,FD674478,Capitoliumart srl,354.0,88.5
266,FD691526,Capitoliumart srl,354.0,88.5
267,FD708705,Capitoliumart srl,354.0,88.5
268,FD725543,Capitoliumart srl,354.0,88.5
269,FD742152,Capitoliumart srl,354.0,88.5
270,FD603592,EDENRED,396.0,99.0
271,FD620426,EDENRED,396.0,99.0
272,FD637486,EDENRED,396.0,99.0
273,FD654482,EDENRED,88.0,22.0
274,FD671308,EDENRED,88.0,22.0
275,FD688562,EDENRED,88.0,22.0
276,FD705728,EDENRED,88.0,22.0
277,FD722587,EDENRED,88.0,22.0
278,FD739414,EDENRED,88.0,22.0
279,FD755483,EDENRED,88.0,22.0
280,FD772447,EDENRED,88.0,22.0
281,FD789220,EDENRED,88.0,22.0
282,FD806781,EDENRED,88.0,22.0
283,FD823669,EDENRED,88.0,22.0
284,FD841410,EDENRED,88.0,22.0
285,FD858809,EDENRED,88.0,22.0
286,FD876295,EDENRED,88.0,22.0
287,FD894469,EDENRED,88.0,22.0
288,FD912534,EDENRED,88.0,22.0
289,FD930984,EDENRED,88.0,22.0
290,FD949291,EDENRED,88.0,22.0
291,FD966656,EDENRED,88.0,22.0
292,FD985468,EDENRED,88.0,22.0
293,FD1004265,EDENRED,88.0,22.0
294,FD1022812,EDENRED,88.0,22.0
295,FD1041673,EDENRED,88.0,22.0
296,FD1061003,EDENRED,88.0,22.0
297,FD1080364,EDENRED,88.0,22.0
298,FD1100763,EDENRED,88.0,22.0
299,FD1121697,EDENRED,88.0,22.0
300,FDEUR57200,Ferrovie Emilia Romagna,531.36,132.84
301,FDEUR84751,Ferrovie Emilia Romagna,531.36,132.84
302,FDEUR114531,Ferrovie Emilia Romagna,531.36,132.84
303,FDEUR150297,Ferrovie Emilia Romagna,531.36,132.84
